route_no,from,to,route
248,K R Market,Jalhalli Cross�Peenya 2nd Stage,"HegganaHalli, Sunkadakatte, Kamakshipalya, KHB Colony,�Vijayanagar,�MCTC"
248SA,Jalahalli�Cross,Jayanagar 9th block,"via�Sunkadgatte,240P"
270H,Jalahalli Cross,JP Nagar�6th phase,"Mathikere,�Mekhri Circle,�Shivajinagar,�Shantinagar, Jayanagar 4th block"
270HA,Jayanagar 9th block,Sharadamba nagar,"via Jayanagar TTMC, Lalbagh, Corporation, Swastik, Malleshwaram 18th Cross"
273C,Jalahalli Cross,Majestic,
276G,Vidyaranyapura,Electronics City,"Kempegowda Bus Station, Corporation,�Shantinagar,�Madiwala,�Bommanahalli"
276N,Vidyaranyapura,Chikkalasandra,"BEL�Circle,�Mathikere,�Kempegowda Bus Station,�KR Market,�Basavanagudi"
278,Bhoopasandra,Shivajinagar,
278B,Bhoopasandra,Jeevan Bhima Nagar,"Mekhri Circle,�Shivajinagar,�Ulsoor"
279,Bhoopasandra,Kempegowda Bus Station,
279F,Bhoopasandra,Uttarahalli,"Corporation,�KR Market,276N"
282A,KR Market,Hosahalli,"Majestic, Shivananda, Mekhri Circle, Hebbala, Kodighalli, Yelahanka Police STation, Hunsamanhalli, Kodagulati, Hosahalli."
282G,Majestic,Rajankunte,"Majestic, Shivananda, Mekhri Circle, Hebbala, Kodighalli, Yelahanka Police STation, Hunsamanhalli, Kodagulati."
285,KR Market,Rajankunte,"Majestic, Shivananda, Mekhri Circle, Hebbala, Kodighalli, Yelahanka NES, Ananthapura Gate."
285MK,KR Market,Doddballapur,"Majestic, Shivananda, Mekhri Circle, Hebbala, Kodighalli, Yelahanka NES, Ananthapura Gate, Rajankunte."
285M,Majestic or Mysore Bank,Doddaballapur,"Mekhri Circle, Hebbala, Kodighalli, Yelahanka NES, Ananthapura Gate,Rajankunte."
288,KR Market,Thindlu,"Mekhri Circle, Hebbala, Kodighalli."
288A,Shivaji Nagar,Kodigehalli,"Mekhri Circle, Hebbala, Sahakar Nagar."
298M,Majestic,Devanahalli,"Shivananda, Mekhri Circle, Hebbala, Kodighalli, Yelahanka Police Station, Yelahanka Old Town."
300,Banaswadi,Shivajinagar,"Banaswadi, Uttam Sagar, Ayyappa Temple, Indian Oil, Maruthi Sevanagar, Jai Bharath Nagar, ITC,�Mosque Road, |�Fraser Town, Coles Park, Bamboo Bazaar, Queens Road, Indian Express, Shivajinagar."
300E,K R Puram,Shivajinagar,"ITI circle,�Ramamurthy Nagar, Ring Road, Banaswadi, Uttam Sagar, Ayyappa Temple, Indian Oil, Maruthi Sevanagar, Jai Bharath Nagar, ITC, Mosque Road, | Fraser Town, Coles Park, Bamboo Bazaar, Queens Road, Indian Express, Shivajinagar."
302A,Babusapalya,Kempegowda Bus Station,"Babusapalya, Mantap, Om Shakti Temple, Uttam Sagar, Ayyappa Temple, Indian Oil, Maruthi Sevanagar, Jai Bharath Nagar, ITC, Mosque Road, Fraser Town, Coles Park, Bamboo Bazaar, Queens Road, Indian Express, Vidhan Soudha, KR Circle, Mysuru Bank, KBS."
302F,Babusapalya,Kempegowda Bus Station,"Babusapalya, Mantap, Om Shakti Temple, Uttam Sagar, Ayyappa Temple, Indian Oil, Maruthi Sevanagar, Jai Bharath Nagar, ITC, Mosque Road, Fraser Town, Coles Park, Bamboo Bazaar, Queens Road, Indian Express, Vidhan Soudha, KR Circle, Mysuru Bank, KBS."
300Q,Banaswadi,Padmanabhanagar,"Shivajinagar, Shantinagar, Jayanagar 4th block"
301E,ITI Colony,Jayanagar 4th block,"Banaswadi, Shivajinagar, Shantinagar"
314,Shivajinagar,CV Raman Nagar,"MG Road, Ulsoor, Indiranagar, Thippasandra, BEML gate"
314A,Shivajinagar,DRDO 2nd Phase,"MG Road, Ulsoor, Indiranagar, Thippasandra, BEML gate, CV Raman Nagar, Kaggadasapura"
314B,KBS (Majestic),CV Raman Nagar,"Corporation, Mayo Hall, Ulsoor, Indiranagar, Thippasandra, BEML gate"
314D,KBS (Majestic),Vignana Nagar,"Corporation, Mayo Hall, Ulsoor, Indiranagar, Thippasandra, BEML gate, Mallesh Palya"
